,instock,title,url,comment_amount,rating,price
26,True,Xiaomi Redmi Note 9 Pro 64 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-note-9-pro-64-gb-xiaomi-turkiye-garantili-p-HBV00000TOMQH,677.0,5.0,3329.9
27,True,Xiaomi Mi Note 10 Lite 128 GB (Xiaomi Turkiye Garantiili),https://hepsiburada.com/xiaomi-mi-note-10-lite-128-gb-xiaomi-turkiye-garantiili-p-HBV00000TOMQB,1359.0,5.0,4099.9
29,True,iPhone 7 32 GB,https://hepsiburada.com/iphone-7-32-gb-p-HBV0000012S8G,1473.0,5.0,3639.9
32,True,General Mobile GM9 Go 16 GB (General Mobile Garantili),https://hepsiburada.com/general-mobile-gm9-go-16-gb-general-mobile-garantili-p-HBV00000KJE29,108.0,5.0,1499.0
34,True,iPhone SE 128 GB,https://hepsiburada.com/iphone-se-128-gb-p-HBV00000SXR4E,146.0,5.0,5299.9
35,True,iPhone SE 64 GB,https://hepsiburada.com/iphone-se-64-gb-p-HBV00000SXR4A,462.0,5.0,4949.9
36,True,Samsung Galaxy Note 10 Lite 128 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-note-10-lite-128-gb-samsung-turkiye-garantili-p-HBV00000QXQIK,819.0,5.0,4699.9
39,True,Xiaomi Redmi Note 9S 64 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-note-9s-64-gb-xiaomi-turkiye-garantili-p-HBV00000TC9H7,134.0,5.0,2929.9
41,True,Xiaomi Redmi Note 8 Pro 128 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-note-8-pro-128-gb-xiaomi-turkiye-garantili-p-HBV00000NRZLK,1960.0,5.0,3299.91
42,True,Xiaomi Redmi 8A 32 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-8a-32-gb-xiaomi-turkiye-garantili-p-HBV00000NSBXO,920.0,5.0,2068.0
43,True,Oppo Reno2 Z 128 GB (Oppo Turkiye Garantili),https://hepsiburada.com/oppo-reno2-z-128-gb-oppo-turkiye-garantili-p-HBV00000NS6NA,604.0,5.0,3199.9
45,True,iPhone 11 128 GB,https://hepsiburada.com/iphone-11-128-gb-p-HBV00000NSB66,418.0,5.0,8329.9
46,True,Xiaomi Redmi Note 8 Pro 64 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-note-8-pro-64-gb-xiaomi-turkiye-garantili-p-HBV00000P3T2Y,2298.0,5.0,3029.9
47,True,Oppo Realme 6 128 GB 8 GB RAM (Realme Turkiye Garantili),https://hepsiburada.com/oppo-realme-6-128-gb-8-gb-ram-realme-turkiye-garantili-p-HBV00000UPE0F,148.0,5.0,3399.0
50,True,Oppo Realme 6 Pro 128 GB (Realme Turkiye Garantili),https://hepsiburada.com/oppo-realme-6-pro-128-gb-realme-turkiye-garantili-p-HBV00000SKNP4,173.0,5.0,3499.9
51,True,iPhone 8 Plus 128 GB,https://hepsiburada.com/iphone-8-plus-128-gb-p-HBV00000NGYZS,123.0,5.0,6249.91
53,True,Xiaomi Redmi Note 9 64 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-note-9-64-gb-xiaomi-turkiye-garantili-p-HBV00000UGU48,155.0,5.0,2679.9
56,True,iPhone XR 64 GB,https://hepsiburada.com/iphone-xr-64-gb-p-HBV00000E8OSZ,305.0,5.0,6549.9
63,True,Huawei P30 Lite 128 GB (Huawei Turkiye Garantili),https://hepsiburada.com/huawei-p30-lite-128-gb-huawei-turkiye-garantili-p-HBV00000KKI6I,800.0,5.0,2899.9
64,True,iPhone 11 Pro Max 64 GB,https://hepsiburada.com/iphone-11-pro-max-64-gb-p-HBV00000NSB6V,109.0,5.0,12449.9
65,True,Samsung Galaxy A51 2020 128 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-a51-2020-128-gb-samsung-turkiye-garantili-p-HBV00000Q7L4Z,1456.0,5.0,3439.0
67,True,Samsung Galaxy A01 16 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-a01-16-gb-samsung-turkiye-garantili-p-HBV00000R6F0L,211.0,5.0,1939.0
68,True,Samsung Galaxy A71 2020 128 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-a71-2020-128-gb-samsung-turkiye-garantili-p-HBV00000RC5SP,985.0,5.0,3999.0
