instock,title,url,comment_amount,rating,price
True,LG K61 128 GB (LG Turkiye Garantili),https://hepsiburada.com/lg-k61-128-gb-lg-turkiye-garantili-p-HBV00000XKZ64,9,5.0,3199.0,
True,Huawei Y6S 32 GB (Huawei Turkiye Garantili),https://hepsiburada.com/huawei-y6s-32-gb-huawei-turkiye-garantili-p-HBV00000QHQZI,41,5.0,2079.9,
True,Oppo A72 128 GB (Oppo Turkiye Garantili),https://hepsiburada.com/oppo-a72-128-gb-oppo-turkiye-garantili-p-HBV00000V3YQ5,25,5.0,2907.0,
True,Samsung Galaxy J5 (Ithalatci Garantili),https://hepsiburada.com/samsung-galaxy-j5-ithalatci-garantili-p-TELCEPSAMJ5GRC-B,5,4.0,1425.0,
True,Samsung Galaxy Note 20 256 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-note-20-256-gb-samsung-turkiye-garantili-p-HBV00000VSEDB,15,5.0,8799.9,
True,Huawei P20 Lite 64 GB (Ithalatci Garantili),https://hepsiburada.com/huawei-p20-lite-64-gb-ithalatci-garantili-p-HBV00000BFPSU,446,4.0,2199.99,
True,Oppo A31 64 GB (Oppo Turkiye Garantili),https://hepsiburada.com/oppo-a31-64-gb-oppo-turkiye-garantili-p-HBV00000V3WGO,13,5.0,2569.0,
True,Nokia C2-00 Cift Sim Kart,https://hepsiburada.com/nokia-c2-00-cift-sim-kart-p-TEOCEPNOKC200-M,41,4.0,389.0,
True,Oppo A5s 32 GB (Oppo Turkiye Garantili),https://hepsiburada.com/oppo-a5s-32-gb-oppo-turkiye-garantili-p-HBV00000NRZM2,204,5.0,2135.0,
True,Yenilenmis Samsung Galaxy S3 Mini 8 GB (12 Ay Garantili),https://hepsiburada.com/yenilenmis-samsung-galaxy-s3-mini-8-gb-12-ay-garantili-p-HBV000007HJ4Y,13,3.0,469.0,
True,Casper Via X20 128 GB (Casper Turkiye Garantili),https://hepsiburada.com/casper-via-x20-128-gb-casper-turkiye-garantili-p-HBV00000WCWQL,2,5.0,3149.0,
True,Oppo Reno 3 128 GB (Oppo Turkiye Garantili),https://hepsiburada.com/oppo-reno-3-128-gb-oppo-turkiye-garantili-p-HBV00000TCE3W,60,5.0,3759.9,
True,Samsung Galaxy M20 32 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-m20-32-gb-samsung-turkiye-garantili-p-HBV00000HBKG6,2660,5.0,2384.0,
True,Samsung Galaxy S20 Ultra 128 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-s20-ultra-128-gb-samsung-turkiye-garantili-p-HBV00000QW67B,66,4.0,10259.0,
True,Huawei P30 Lite 64 GB (Huawei Turkiye Garantili),https://hepsiburada.com/huawei-p30-lite-64-gb-huawei-turkiye-garantili-p-HBV00000PWOET,151,5.0,2639.0,
True,Oppo Realme C2 32 GB (Realme Turkiye Garantili),https://hepsiburada.com/oppo-realme-c2-32-gb-realme-turkiye-garantili-p-HBV00000WJCA3,3,5.0,1899.89,
True,Meizu Note 8 64 GB (Meizu Turkiye Garantili),https://hepsiburada.com/meizu-note-8-64-gb-meizu-turkiye-garantili-p-HBV00000HBV5T,94,5.0,1949.89,
True,Xiaomi Redmi 7A 32 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-7a-32-gb-xiaomi-turkiye-garantili-p-HBV00000MKITM,444,5.0,1949.0,
True,Oppo A9 2020 128 GB (Oppo Turkiye Garantili),https://hepsiburada.com/oppo-a9-2020-128-gb-oppo-turkiye-garantili-p-HBV00000NS6N4,219,5.0,2850.0,
True,Huawei Y9 Prime 2019 128 GB (Huawei Turkiye Garantili),https://hepsiburada.com/huawei-y9-prime-2019-128-gb-huawei-turkiye-garantili-p-HBV00000MK44S,142,5.0,2588.0,
True,Oppo A91 128 GB (Oppo Turkiye Garantili),https://hepsiburada.com/oppo-a91-128-gb-oppo-turkiye-garantili-p-HBV00000V56O0,26,5.0,3249.9,
True,Oppo A5 2020 64 GB (Oppo Turkiye Garantili),https://hepsiburada.com/oppo-a5-2020-64-gb-oppo-turkiye-garantili-p-HBV00000NS6N1,219,5.0,2487.0,
True,Oppo Reno 4 128 GB (Oppo Turkiye Garantili),https://hepsiburada.com/oppo-reno-4-128-gb-oppo-turkiye-garantili-p-HBV00000XK8ZI,2,5.0,4399.0,
True,Oppo A52 64 GB (Oppo Turkiye Garantili),https://hepsiburada.com/oppo-a52-64-gb-oppo-turkiye-garantili-p-HBV00000V3WGQ,6,5.0,2687.0,
True,Huawei P Smart 2019 64 GB (Huawei Turkiye Garantili),https://hepsiburada.com/huawei-p-smart-2019-64-gb-huawei-turkiye-garantili-p-HBV00000GPCY3,889,5.0,2539.0,
True,Yenilenmis Apple iPhone 7 32 GB (12 Ay Garantili),https://hepsiburada.com/yenilenmis-apple-iphone-7-32-gb-12-ay-garantili-p-HBV000009XNT3,68,4.0,2589.0,
True,Samsung Galaxy A10s 32 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-a10s-32-gb-samsung-turkiye-garantili-p-HBV00000NBYGN,434,5.0,2297.0,
True,Yenilenmis Apple iPhone 6 32 GB (12 Ay Garantili),https://hepsiburada.com/yenilenmis-apple-iphone-6-32-gb-12-ay-garantili-p-HBV00000A6MEF,19,5.0,1568.0,
True,Xiaomi Redmi Note 8 128 GB (Xiaomi Turkiye Garantili),https://hepsiburada.com/xiaomi-redmi-note-8-128-gb-xiaomi-turkiye-garantili-p-HBV00000NSBXR,827,5.0,2949.91,
True,iPhone XR 128 GB,https://hepsiburada.com/iphone-xr-128-gb-p-HBV00000FSSVN,34,5.0,6989.9,
True,LG K9 16 GB (LG Turkiye Garantili),https://hepsiburada.com/lg-k9-16-gb-lg-turkiye-garantili-p-HBV00000C5DEN,19,4.0,1521.0,
True,Yenilenmis Apple iPhone 6S 16 GB (12 Ay Garantili),https://hepsiburada.com/yenilenmis-apple-iphone-6s-16-gb-12-ay-garantili-p-HBV0000077K54,58,4.0,1586.0,
True,Samsung Galaxy S7 Edge (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-s7-edge-samsung-turkiye-garantili-p-TELCEPSAMS7E32-GD,634,5.0,2999.99,
True,Samsung Galaxy A30s 64 GB (Samsung Turkiye Garantili),https://hepsiburada.com/samsung-galaxy-a30s-64-gb-samsung-turkiye-garantili-p-HBV00000NIK38,337,5.0,2790.0,
True,Yenilenmis Apple iPhone 5S 16 GB (12 Ay Garantili),https://hepsiburada.com/yenilenmis-apple-iphone-5s-16-gb-12-ay-garantili-p-HBV000006IPUI,70,4.0,959.0,
True,Hiking A19 64 GB (Ithalatci Garantili),https://hepsiburada.com/hiking-a19-64-gb-ithalatci-garantili-p-HBV00000VSEE5,5,4.0,1584.0,
True,Xiaomi Redmi Note 8 Pro 64 GB (Ithalatci Garantili),https://hepsiburada.com/xiaomi-redmi-note-8-pro-64-gb-ithalatci-garantili-p-HBV00000NOORH,107,4.0,3550.0,
